id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_1	1011	1032	0.7048327885416769	0.025652689796048476	0.1085010857882579	0.18567224411682126	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_1	1024	1052	1.363965122676524	0.016949283539071328	0.20996710027340967	1.363965122676524	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_1	1070	1090	0.550324676290352	0.028341421743250675	0.0847162985097763	0.12418186109042839	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_2	1009	1032	1.2096396914883008	0.0396450790430134	0.1861171966293747	0.6904791470634452	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_2	1023	1044	1.1166665092133503	0.0019304623221196484	0.17181218649413724	1.1166665092133503	addition	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_2	1071	1090	0.528956396266214	0.01801894824971212	0.0813861204331989	0.10281358106629046	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_3	1001	1016	0.2875355455663944	0.04975413791984977	0.04493019377957148	0.2875355455663944	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_3	1011	1032	0.7591538189329164	0.027361089205117282	0.11862508381692105	0.23999327450806085	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_3	1023	1046	0.9508737587680485	0.0119243565848499	0.14858316789042986	0.9508737587680485	addition	TAL1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_3	1039	1059	0.5821549846267611	0.03789625903721668	0.09096731403242843	0.5821549846267611	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_3	1070	1090	0.6043715132763521	0.031497943213695534	0.0944388602559371	0.1782286980764285	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_4	1010	1032	1.2471232849371092	0.030231454707666243	0.19511215960370992	0.7279627405122536	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_4	1022	1045	1.3679564968227313	0.0014462953442794548	0.21401648863646094	1.3679564968227313	addition	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_4	1065	1079	0.4201333858712877	0.04530563615562713	0.06572977445698124	0.4201333858712877	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_4	1071	1089	0.45336902737540585	0.04262751476761829	0.07092948315299055	0.027226212175482267	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_5	1000	1014	0.24677291879271857	0.04709088356070822	0.037806558475601285	0.24677291879271857	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_5	1011	1032	0.8536543754873419	0.02216314423010978	0.13078312734925343	0.3344938310624863	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_5	1022	1045	0.9928228709692252	0.010776918180656465	0.15210427509973554	0.9928228709692252	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_5	1040	1059	0.4071119601583111	0.01283633530095234	0.062371115125360345	0.4071119601583111	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_screen_target-10.88_pos-1035_flanks-5_5	1070	1090	0.5817017320636113	0.031868918036609455	0.08911893839977705	0.15555891686368772	increase	FOXA2_HUMAN.H11MO.0.A
