id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51398819-51399745_ISM_run-100_target-10.88_1	927	947	0.4547828561399934	0.04404732137953675	0.07154410421645575	0.4547828561399934	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-100_target-10.88_1	945	963	0.42564682717048996	0.015334884563813078	0.06696057371414024	0.42564682717048996	addition	NRF1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-100_target-10.88_1	967	988	0.8257192028078193	0.006546900676822427	0.1298979060042372	0.8257192028078193	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-100_target-10.88_1	978	992	0.4991074250777372	0.04705103509220816	0.07851701785340968	0.4991074250777372	addition	ETV6_ETS_1
ISL1_chr5:51398819-51399745_ISM_run-100_target-10.88_1	1019	1046	0.9459912171952047	0.04862848917468544	0.14881848186914054	0.9459912171952047	addition	NRF1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-100_target-10.88_1	1046	1061	0.2656348137884903	0.033818073538542465	0.041788305220002576	0.2656348137884903	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-100_target-7.64_1	1019	1045	1.089976561378702	0.026159430603553573	0.23049222101381706	1.089976561378702	addition	NRF1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-10_target-10.88_1	1044	1067	0.7508769091619062	0.0219701124757981	0.1196741282979072	0.7508769091619062	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-10_target-10.88_1	1061	1076	0.32482686573338304	0.02289417725462466	0.05177063181736752	0.32482686573338304	addition	ELK1_HUMAN.H11MO.0.B
ISL1_chr5:51398819-51399745_ISM_run-10_target-10.88_1	1081	1103	0.8101622126730925	0.012318542954752718	0.12912296995492006	0.8101622126730925	addition	ZBTB33_MA0527.1
ISL1_chr5:51398819-51399745_ISM_run-10_target-10.88_1	1096	1110	0.275017728999734	0.038598888031356283	0.04383209362670194	0.275017728999734	addition	NRF1_MA0506.1
ISL1_chr5:51398819-51399745_ISM_run-10_target-10.88_1	1113	1142	1.0721501050108482	0.031391185643420416	0.1708783792071793	1.0721501050108482	addition	CTCF_MA0139.1
ISL1_chr5:51398819-51399745_ISM_run-10_target-7.64_1	1014	1039	0.9717270062518586	0.047440550458002585	0.20219331938891816	0.9717270062518586	addition	NRF1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-10_target-7.64_1	1029	1043	0.5198272301960117	0.047833279071528095	0.10816370493549597	0.5198272301960117	addition	NRF1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-11_target-10.88_1	1035	1050	0.4242780230579564	0.04445488936083167	0.06597106079495621	0.4242780230579564	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-11_target-10.88_1	1041	1066	0.9315886533288686	0.0216072737959361	0.14485287557836815	0.9315886533288686	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51398819-51399745_ISM_run-11_target-10.88_1	1061	1076	0.3607636226988229	0.04089516803665444	0.056095196055963546	0.3607636226988229	addition	ELK1_HUMAN.H11MO.0.B
