id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	999	1032	1.9271120801018136	0.020782944543160292	0.18675125534292897	1.9271120801018136	addition	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1013	1031				-0.40305298240052206	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1028	1060	1.8982021854879978	0.003993640638080072	0.1839496751096316	1.8982021854879978	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1053	1067	0.3294674999670182	0.02180184363848297	0.03192781045214888	0.3294674999670182	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1064	1080	0.8276584158956188	0.04157803279634765	0.0802061539438229	0.8276584158956188	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1070	1101	2.0627944420314117	0.0008429945143283453	0.19989986858648634	2.0627944420314117	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1074	1089				-0.35149073920886	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1095	1113	0.5544595062121296	0.01591637661675091	0.05373118143521012	0.5544595062121296	addition	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	999	1033	1.9688768563356245	0.023978966652746625	0.19403045848047265	1.9688768563356245	addition	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1013	1031				-0.40305298240052206	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1028	1060	1.843759059109002	0.03459194355839432	0.18170024926407155	1.843759059109002	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1053	1067	0.34266101111932024	0.04589631419228254	0.03376883266056859	0.34266101111932024	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1070	1102	1.9968393171855867	0.006525800046691943	0.19678612554085867	1.9968393171855867	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1074	1089				-0.35149073920886	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1095	1113	0.5215643091120983	0.04554980170166938	0.05139953862448188	0.5215643091120983	addition	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	999	1032	1.9682657313420155	0.01657997113026903	0.19038557108947549	1.9682657313420155	addition	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1013	1031				-0.40305298240052206	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1028	1060	1.7485064818439642	0.041262157128128175	0.16912879180827847	1.7485064818439642	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1059	1074	0.5220650281236083	0.03822531123050392	0.05049808414709687	0.5220650281236083	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1065	1079	0.6647435158796906	0.027839420844810524	0.06429902826814468	0.6647435158796906	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1069	1102	2.3356493522015684	0.03512886189237361	0.22592169781895693	2.3356493522015684	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1074	1089				-0.35149073920886	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1096	1112	0.4174303614169066	0.040948540118391635	0.04037702657875231	0.4174303614169066	addition	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	999	1032	1.8655339420839656	0.04695064795138151	0.18363995032204497	1.8655339420839656	addition	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1013	1031				-0.40305298240052206	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1028	1060	1.8202643545393649	0.04554980170166938	0.17918369004167545	1.8202643545393649	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1053	1067	0.46221715703908783	0.018723703125906946	0.04549986137579185	0.46221715703908783	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1059	1075	0.6247853689659646	0.03202133761382601	0.06150279634723802	0.6247853689659646	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1065	1080	0.8288125852724475	0.024496864293743537	0.08158688435102587	0.8288125852724475	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1070	1102	2.1630781355462263	0.00421626974575668	0.21292968859664516	2.1630781355462263	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1074	1089				-0.35149073920886	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1092	1113	0.7562113640077346	0.030883593372035726	0.07444014509015877	0.7562113640077346	addition	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	999	1032	1.9655990433273893	0.018723703125906946	0.19232724793248243	1.9655990433273893	addition	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1013	1031				-0.40305298240052206	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1028	1059	1.797505646902151	0.03152925435595684	0.17587987508712175	1.797505646902151	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1053	1067	0.3132839570728354	0.031044267384158657	0.030653780327049476	0.3132839570728354	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1063	1079	0.7876488296682878	0.04286440117339201	0.07706878585517855	0.7876488296682878	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1069	1102	2.1955766916466137	0.04352150009819771	0.2148297864524168	2.1955766916466137	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1074	1089				-0.35149073920886	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1095	1112	0.44597680431628817	0.04839151109639871	0.04363732863375665	0.44597680431628817	addition	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	999	1032	1.8533671652767416	0.017268444460892787	0.18070237855016305	1.8533671652767416	addition	NDF2_MOUSE.H11MO.0.A
