id	reason
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_2	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_3	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_4	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_5	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_6	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_7	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_8	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_9	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-1_target-7.64_10	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_2	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_3	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_4	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_5	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_6	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_7	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_8	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_9	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-2_target-7.64_10	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_2	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_4	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_5	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_6	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_7	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_8	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_9	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-3_target-7.64_10	duplicate_sequence
ISL1_chr5:51398819-51399745_Ledidi_run-4_target-7.64_2	duplicate_sequence
