id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1012	1027	0.410469664199688	0.03654228754719702	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1045	1062	0.7737707025272635	0.009744610012581312	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1045	1062	0.8268704295605103	0.007267854967715315	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1066	1082	0.592846929188473	0.025946984864259726	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1045	1062	0.7922236766693245	0.008576329331034138	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1067	1082	0.49846055990194715	0.03424162044851797	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1045	1062	0.8329996977003891	0.003054416847517727	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1066	1082	0.4862719703434397	0.04056193917738937	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1091	1105	0.5226564980689989	0.017502117191597333	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1120	1134	-0.034547043145924494	0.0205519671168507	TAL1_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1044	1060	0.6172794766228213	0.017938656202451497	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1066	1082	0.6325869043161911	0.02178265396011947	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1045	1062	0.8915325602204336	0.002034385097117619	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1045	1062	0.715282935020011	0.012964218756222223	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1066	1082	0.5088883373692701	0.031192440137744026	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1044	1061	0.6993894315533015	0.01981404035892176	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1066	1082	0.5337591602464671	0.028349483462802305	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1091	1106	0.5439055019463965	0.024676472952335993	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-17_target-10.88_1	1045	1062	0.8355082160379286	0.005285496916793142	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-17_target-10.88_1	1066	1081	0.476989852083324	0.02716310041008152	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-18_target-10.88_1	1045	1061	0.6918419061922798	0.012573075999039895	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-18_target-10.88_1	1066	1082	0.4832873046832584	0.03275406422679672	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-19_target-10.88_1	1045	1062	0.8751972612827601	0.006130983799580103	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-19_target-10.88_1	1066	1082	0.6311280529115848	0.015834739972671263	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1037	1051	0.30384529981842245	0.004058853373925864	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1045	1062	0.888588783416235	0.001055666084690765	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1066	1082	0.6057784913554385	0.027366113118677093	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1091	1106	0.5294620014363596	0.023792299654369686	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1045	1062	0.7687660788487338	0.008177430292380716	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1066	1081	0.48363404032946056	0.030463789084479775	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-21_target-10.88_1	1045	1062	0.730891066170402	0.012445650005972753	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-21_target-10.88_1	1066	1081	0.49898690103614474	0.039948557189937395	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-22_target-10.88_1	1045	1062	0.74313226661615	0.011531121848222359	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-22_target-10.88_1	1066	1082	0.52273825206482	0.03776036379877046	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-23_target-10.88_1	1045	1062	0.7826795523846628	0.007738641349862019	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-23_target-10.88_1	1066	1080	0.4513800542099271	0.03637987738032056	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-24_target-10.88_1	1045	1062	0.8630682861011765	0.004587338944499586	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-24_target-10.88_1	1066	1081	0.46358483218119906	0.0403589264687938	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-25_target-10.88_1	1045	1062	0.7822716448522549	0.012924328852356837	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-25_target-10.88_1	1067	1083	0.5807827023933179	0.027708817169857625	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-25_target-10.88_1	1091	1105	0.48617596306537303	0.02249380811238333	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-26_target-10.88_1	1045	1061	0.8779711050700518	0.0016016657323606465	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-27_target-10.88_1	1044	1061	0.8095375832921352	0.007958098176940265	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-28_target-10.88_1	1045	1061	0.725706914889102	0.010691118763514806	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-28_target-10.88_1	1066	1082	0.567677105288213	0.027708817169857625	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-29_target-10.88_1	1045	1062	0.8619782448250735	0.0052255774063452165	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-29_target-10.88_1	1091	1105	0.4290964280381173	0.027019397507764054	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-2_target-10.88_1	1045	1061	0.8464677213708909	0.0018018739489059632	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-2_target-10.88_1	1066	1082	0.6183421123668524	0.015295907744054649	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-30_target-10.88_1	1045	1060	0.5812052699957375	0.01949200225062364	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-30_target-10.88_1	1066	1082	0.570329513801076	0.022948316051765394	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-30_target-10.88_1	1100	1114	0.04577210307584734	0.005580923389146397	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-31_target-10.88_1	1045	1062	0.81656161247539	0.003174985933604102	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-31_target-10.88_1	1066	1081	0.4262713976208543	0.039117635197806866	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-32_target-10.88_1	1045	1062	0.7753875047586354	0.006581834137767029	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-33_target-10.88_1	1045	1061	0.6655439299759978	0.012693200928967086	NFYB_HUMAN.H11MO.0.A
