id	reason
ISL1_chr5:51392398-51392614_ISM_run-4_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-7_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-8_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-9_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-10_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-11_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-12_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-13_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-14_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-15_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-16_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-17_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-18_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-19_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-20_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-21_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-22_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-23_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-24_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-25_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-26_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-27_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-28_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-29_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-30_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-31_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-32_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-33_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-34_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-35_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-36_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-37_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-38_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_ISM_run-39_target-5.87_1	duplicate_sequence
