id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	968	985	0.4840960023560499	0.026997912206387874	0.048493498089620696	0.4840960023560499	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	975	989	0.49087156740937454	0.03619931001030346	0.049172228856597444	0.49087156740937454	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	982	1000	0.5422159524184101	0.03167199526407062	0.05431556576545531	0.5422159524184101	addition	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	995	1018	1.077673858923344	0.04220007400636097	0.10795415571413103	1.077673858923344	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1009	1032	1.4679024522589341	0.021998457716634424	0.14704464490085362	0.8689985478638796	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1025	1046	0.7858009853744887	0.015114953423688899	0.07871628436843174	0.7858009853744887	addition	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1043	1068	1.255665071040363	0.01491721035364396	0.12578412427978253	1.255665071040363	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1069	1091	0.9679955840784942	0.04879447632033253	0.09696732007455522	0.5491168121966898	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1087	1109	0.9424860398938772	0.01903190821965004	0.09441194464041978	0.9424860398938772	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	983	1003	0.6564293736364768	0.029629925344728626	0.06390273030315338	0.6564293736364768	addition	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	994	1016	1.1488967167455952	0.02428560461425146	0.11184392409141342	0.5499928123505408	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1006	1032	1.5868421327106157	0.03125226152238664	0.15447746385652045	1.5868421327106157	addition	CEBPB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1023	1047	1.1181859176302855	0.014532502285124036	0.10885425910675847	1.1181859176302855	addition	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1038	1052	0.5170556050630153	0.04333505616213976	0.050334836022090525	0.5170556050630153	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1043	1068	1.4413026800177438	0.02349725600991922	0.14030934651225974	1.4413026800177438	addition	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1059	1074	0.6290961390465961	0.04679269915774366	0.06124186778167021	0.6290961390465961	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1064	1079	0.6771115457580281	0.03644205857521157	0.06591611867400773	0.6771115457580281	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1069	1091	1.1794638408158065	0.04690923214939812	0.11481960245690269	0.7605850689340021	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1087	1109	1.0295234047234727	0.00675707287020704	0.10022305386544403	1.0295234047234727	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_1	997	1012	0.32074519735945484	0.03844260409417699	0.05842616153776502	0.32074519735945484	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_1	1011	1032	0.6228953980973018	0.03850458539236473	0.11346510392041137	0.02399149370224729	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_1	1071	1089	0.43879168728330864	0.03718000699924916	0.07992922174267855	0.019912915401504305	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_2	1013	1032	0.5815825659108993	0.01115864162852038	0.11623865929666398	-0.01732133848415518	decrease	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_2	1071	1089	0.44306386452577007	0.03340961098387601	0.08855346190546648	0.024185092643965733	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_1	1011	1032	0.6443119864241063	0.032966271994012385	0.10819012030732462	0.04540808202905178	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_1	1031	1045	0.3613071246279129	0.044204600250275256	0.060669151133341266	0.3613071246279129	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_1	1070	1090	0.6137938404836156	0.031044548334253883	0.10306564342279116	0.1949150686018113	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_2	1011	1031	0.6131234731464088	0.04449795842645142	0.1049314453277436	0.014219568751354328	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_2	1071	1090	0.5916293338652505	0.013874493966520138	0.10125288595164678	0.17275056198344618	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_1	969	983	0.329209988347148	0.044204600250275256	0.05054285241183953	0.329209988347148	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_1	986	1000	0.3404358205306619	0.03431456138092667	0.05226632861042048	0.3404358205306619	addition	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_1	994	1010	0.49766194925433294	0.04027995499951852	0.0764048945733272	0.49766194925433294	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_1	1011	1032	0.9278750224627961	0.03454465419482678	0.1424545183225625	0.3289711180677416	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_1	1025	1040	0.4565531147833881	0.043048709456979764	0.07009354975684876	0.4565531147833881	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_1	1071	1089	0.4371298329287434	0.030027159910299063	0.06711153796230482	0.018251061046939077	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_2	1011	1033	1.0645131026287786	0.005648346142143026	0.16467440575612222	0.46560919823372415	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_2	1025	1040	0.5126071830704533	0.0354806693670537	0.07929755213908682	0.5126071830704533	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_2	1070	1090	0.6863615157228349	0.03768011895550203	0.10617640539737361	0.26748274384103055	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_1	958	973	0.4983811600341606	0.02028209928294025	0.05384908314493208	0.4983811600341606	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_1	963	985	0.9972572001474715	0.013424648031872257	0.1077516370882529	0.9972572001474715	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_1	981	1002	0.8388263092470143	0.04879447632033253	0.09063349759790856	0.8388263092470143	addition	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_1	994	1022	1.9098058779199638	0.018174571748705338	0.20635068850464383	1.3109019735249094	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_1	1012	1047	2.3122515010480016	3.7370288313756088e-06	0.2498341296115474	2.3122515010480016	addition	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_1	1043	1057	0.3234473481685951	0.04479309762432387	0.034947836196987526	0.3234473481685951	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_1	1070	1089	0.6214567570334415	0.023036950899764225	0.0671471541544224	0.20257798515163716	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_2	949	964	0.32497048181208965	0.03431456138092667	0.032562001386802285	0.32497048181208965	addition	ZNF76_HUMAN.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_2	956	991	1.6509312141697474	0.03803687700784193	0.16542309992448856	1.6509312141697474	addition	JUN+JUNB_MA1133.1
