id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ref_sequence	1012	1031	0.5100646484814653	0.044575504702918836	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ref_sequence	1072	1089	0.38164150075233483	0.03803319000648644	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1000	1016	0.5679216855181755	0.027327248340216152	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1006	1020	0.6072122490028196	0.033586012565209725	CEBPB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1010	1032	0.8827845982466435	0.048656515241408516	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1025	1042	0.49848001494833616	0.018712554662154702	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1070	1091	0.7989877157945413	0.01159186067213234	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1092	1106	0.3974356406024486	0.03975271240615862	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1112	1128	0.40322044459166584	0.029900260077359478	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1122	1150	2.050812882233803	0.00794888968750295	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_ISM_run-100_target-10.88_1	1149	1164	0.21628163855089788	0.04935493850854671	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_ISM_run-100_target-5.87_1	1012	1031	0.48302218045725404	0.04265838350980383	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-5.87_1	1071	1089	0.4078189608055074	0.04265838350980383	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-6.42_1	1011	1032	0.6819848092782888	0.018800906217814255	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-6.42_1	1071	1090	0.5799540680458861	0.009973033135031178	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-7.64_1	996	1016	0.6114049474415579	0.04908340978932426	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-100_target-7.64_1	1011	1032	0.8418426072616259	0.008101118638487753	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-100_target-7.64_1	1070	1089	0.5984485060210063	0.012970316232949135	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-10_target-10.88_1	966	980	0.2640467053871234	0.02429194772928173	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_ISM_run-10_target-10.88_1	986	1001	0.3727438273338477	0.03759689986103665	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_ISM_run-10_target-10.88_1	994	1009	0.5679043891738094	0.030169687169700428	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_ISM_run-10_target-10.88_1	999	1033	1.7824489623451276	0.012034804421038076	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-10_target-10.88_1	1025	1047	0.7912468211973338	0.03670866835902909	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-10_target-10.88_1	1037	1059	0.788214758587594	0.04046098472989332	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-10_target-10.88_1	1053	1068	0.3303684304953225	0.03697571221619012	SP2_HUMAN.H11MO.0.A
