id	reason
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-7_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-8_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-9_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_1	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_9	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_10	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_2	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_3	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_4	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_5	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_6	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_7	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_8	duplicate_sequence
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-6.42_9	duplicate_sequence
