annotation	span_start	span_end	n_seqlets	span_length	midpoint
FOXA2_HUMAN.H11MO.0.A	1069	1092	63	23	1080
FOXA2_HUMAN.H11MO.0.A	994	1036	61	42	1015
FOXA2_HUMAN.H11MO.0.A	967	1002	30	35	984
ETV6_MOUSE.H11MO.0.C	991	1022	26	31	1006
NFYB_HUMAN.H11MO.0.A	1024	1046	26	22	1035
FOXD2_forkhead_1	979	1003	22	24	991
NDF2_MOUSE.H11MO.0.A	1035	1059	20	24	1047
ETV6_MOUSE.H11MO.0.C	1010	1047	17	37	1028
MEOX2_MA0706.1	1007	1048	15	41	1027
MAFB_HUMAN.H11MO.0.B	999	1036	15	37	1017
RFX6_MOUSE.H11MO.0.C	952	982	13	30	967
JUN+JUNB_MA1133.1	956	989	12	33	972
SP2_HUMAN.H11MO.0.A	1053	1068	12	15	1060
JUN+JUNB_MA1133.1	992	1011	10	19	1001
TAL1_HUMAN.H11MO.0.A	966	1002	9	36	984
HNF6_HUMAN.H11MO.0.B	1007	1032	9	25	1019
ETV6_MOUSE.H11MO.0.C	940	961	8	21	950
ETV6_MOUSE.H11MO.0.C	985	1002	8	17	993
HNF4G_MA0484.1	1036	1060	6	24	1048
TYY1_HUMAN.H11MO.0.A	1063	1080	5	17	1071
RFX6_MOUSE.H11MO.0.C	1070	1099	4	29	1084
FOXD2_forkhead_1	1124	1148	3	24	1136
HNF6_HUMAN.H11MO.0.B	980	1002	3	22	991
CEBPB_HUMAN.H11MO.0.A	1007	1022	3	15	1014
FOXA2_HUMAN.H11MO.0.A	984	1009	2	25	996
JUN+JUNB_MA1133.1	1023	1045	2	22	1034
ARNTL_bHLH_1	1064	1080	2	16	1072
ARNTL_bHLH_1	1043	1058	2	15	1050
HNF4G_MA0484.1	1052	1067	2	15	1059
FOXA2_HUMAN.H11MO.0.A	1066	1080	2	14	1073
TAL1_HUMAN.H11MO.0.A	958	972	2	14	965
HNF1B_MA0153.2	961	991	1	30	976
FOXA2_HUMAN.H11MO.0.A	1087	1108	1	21	1097
CEBPB_HUMAN.H11MO.0.A	1022	1042	1	20	1032
FOXA2_HUMAN.H11MO.0.A	1027	1046	1	19	1036
RFX6_MOUSE.H11MO.0.C	939	958	1	19	948
CEBPB_HUMAN.H11MO.0.A	999	1017	1	18	1008
RFX6_MOUSE.H11MO.0.C	1028	1045	1	17	1036
SP2_HUMAN.H11MO.0.A	1058	1075	1	17	1066
ARNTL_bHLH_1	926	942	1	16	934
MEOX2_MA0706.1	956	972	1	16	964
NDF2_MOUSE.H11MO.0.A	1064	1079	1	15	1071
HNF4G_MA0484.1	969	983	1	14	976
RFX6_MOUSE.H11MO.0.C	1061	1075	1	14	1068
TAL1_HUMAN.H11MO.0.A	1053	1067	1	14	1060
TYY1_HUMAN.H11MO.0.A	991	1005	1	14	998
ZBTB33_MA0527.1	992	1006	1	14	999
