id	start	end	attribution	p-value	annotation
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_1	1071	1104	1.9051534729166577	0.026684689078321264	NDF2_MOUSE.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_1	1094	1121	1.4693745506937996	1.690053979638048e-05	FOXA2_HUMAN.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_1	1112	1145	1.5185557759903108	0.033170360658203425	ETV6_MOUSE.H11MO.0.C
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_1	1141	1161	0.2915099879001106	0.0433416458791089	FOXA2_HUMAN.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_1	1166	1191	1.1030645575881426	0.012672392094917145	RFX6_MOUSE.H11MO.0.C
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_10	922	939	0.3063090445397432	0.04510728500690669	FOXA2_HUMAN.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_10	1063	1078	0.2376113678703501	0.02509953282668863	ARNTL_bHLH_1
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_10	1071	1104	1.9887473482132183	0.008561375236800773	NDF2_MOUSE.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_10	1094	1121	1.4326667646873705	3.377932823226865e-06	FOXA2_HUMAN.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_10	1113	1148	1.7952467130156449	0.009479955029943391	ETV6_MOUSE.H11MO.0.C
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_10	1142	1161	0.2703536607517725	0.042266466660270764	FOXA2_HUMAN.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_10	1166	1190	0.678727879938382	0.03543262724763871	RFX6_MOUSE.H11MO.0.C
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_2	922	940	0.2842090495915778	0.03915924577841447	FOXA2_HUMAN.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_2	1060	1075	0.2595986610792135	0.04601208934252348	MEOX2_MA0706.1
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_2	1070	1103	1.8260732842885372	0.046932261162744245	NDF2_MOUSE.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_2	1093	1120	1.4166085490472269	0.0004723566716375481	FOXA2_HUMAN.H11MO.0.A
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_2	1113	1148	1.8094986547926375	0.023791375470433182	ETV6_MOUSE.H11MO.0.C
NKX6-1_chr4:84433556-84434353_Ledidi_run-1_target-10.88_2	1141	1159	0.3020644024765593	0.044660472050645765	FOXA2_HUMAN.H11MO.0.A
