id	reason
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_2	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_5	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_7	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_8	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_10	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-3_target-10.88_10	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-4_target-10.88_6	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-5_target-10.88_4	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-5_target-10.88_5	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-5_target-10.88_6	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-5_target-10.88_9	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-7_target-10.88_3	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-7_target-10.88_4	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-7_target-10.88_7	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-7_target-10.88_9	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-7_target-10.88_10	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_4	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_5	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_6	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_7	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_8	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_9	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_10	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-9_target-10.88_4	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-9_target-10.88_6	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-9_target-10.88_7	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-9_target-10.88_10	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_4	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_5	duplicate_sequence
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_3	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-2_target-10.88_8	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-3_target-10.88_1	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-3_target-10.88_2	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-3_target-10.88_5	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-3_target-10.88_6	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-3_target-10.88_9	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-3_target-10.88_10	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-4_target-10.88_8	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-5_target-10.88_3	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-6_target-10.88_9	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_1	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_3	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_4	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_5	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_7	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_8	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-8_target-10.88_10	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-9_target-10.88_5	edit_overlaps_exon
ISL1_chr5:51382751-51383709_Ledidi_run-9_target-10.88_9	edit_overlaps_exon
