id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_pos-1006_flanks-6_1	994	1008	0.5853547260131575	0.02180384388249825	0.084087493580761	0.5853547260131575	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_pos-1006_flanks-6_1	998	1032	1.963862293663834	0.01039135028266634	0.28211313699762336	1.4433066286045673	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_pos-1006_flanks-6_1	1031	1045	0.36883347541969025	0.03701205616930052	0.05298373980502523	0.36883347541969025	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_pos-1006_flanks-6_1	1070	1090	0.5609617506211295	0.046517057881277586	0.0805833890257963	0.23629108571446822	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1006_flanks-6_1	991	1022	1.6956030674760374	0.03660304281233658	0.2502609588459743	1.6956030674760374	addition	MAFB_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1006_flanks-6_1	1012	1032	0.9871591093797014	0.0009857591377275736	0.14569883128050748	0.46660344432043477	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1006_flanks-6_1	1031	1045	0.3337078220347167	0.043383890095832316	0.04925329584424699	0.3337078220347167	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1006_flanks-6_1	1070	1090	0.5612858948643553	0.042225652649303	0.08284246999185109	0.23661522995769402	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-3_target-10.88_pos-1006_flanks-6_1	994	1017	1.0828852691120143	0.017308360307367165	0.16813385111318152	0.5623296040527477	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-3_target-10.88_pos-1006_flanks-6_1	1009	1032	0.9269365439787897	0.03539904060186624	0.14392051985756185	0.9269365439787897	addition	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_ISM_run-3_target-10.88_pos-1006_flanks-6_1	1028	1042	0.36775755618255235	0.04291749831276248	0.05709976482333029	0.36775755618255235	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-3_target-10.88_pos-1006_flanks-6_1	1071	1090	0.512930805659968	0.01951028112454741	0.0796400451369299	0.18826014075330666	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1006_flanks-6_1	985	1002	0.48989714525185174	0.04853652490366124	0.07149955818656202	0.48989714525185174	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1006_flanks-6_1	994	1008	0.5681956615804999	0.03847423951263228	0.08292707798009667	0.5681956615804999	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1006_flanks-6_1	999	1022	1.3969127798060794	0.004943188902819321	0.2038767679079864	1.3969127798060794	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1006_flanks-6_1	1012	1032	0.9676503261210438	0.007373859409639108	0.14122672782910195	0.4470946610617772	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1006_flanks-6_1	1030	1045	0.39481619764997955	0.04957359548898527	0.05762267441333938	0.39481619764997955	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1006_flanks-6_1	1070	1089	0.5259120368378514	0.037632878709128806	0.07675586323241423	0.20124137193119007	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-5_target-10.88_pos-1006_flanks-6_1	993	1007	0.9621228619597358	0.01974198346112027	0.13610821572540924	0.9621228619597358	addition	ELK1_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_ISM_run-5_target-10.88_pos-1006_flanks-6_1	997	1032	2.342933867692949	8.209403451646107e-06	0.33144680466772314	2.342933867692949	addition	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_ISM_run-5_target-10.88_pos-1006_flanks-6_1	1012	1031				-0.5205556650592666	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-5_target-10.88_pos-1006_flanks-6_1	1070	1090	0.5874415595165345	0.015495177483000597	0.08310333915762767	0.26277089460987324	increase	FOXA2_HUMAN.H11MO.0.A
