id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-7.64_2	987	1001	0.4621866440306997	0.0494990164445964	0.0687407610749138	0.4621866440306997	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-7.64_2	991	1005	0.5132822897793907	0.0400211010033383	0.0763401878903411	0.5132822897793907	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-7.64_2	996	1016	0.8790352192236688	0.0425393513201099	0.1307384165282697	0.8790352192236688	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-7.64_2	1010	1032	0.9166722036352052	0.035673635319927	0.1363361441701828	0.5136192212346833	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-7.64_2	1028	1042	0.3887840806496809	0.0343263955428654	0.0578236388758447	0.3887840806496809	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-7.64_2	1071	1089	0.55642703861088	0.0172684444608927	0.0827570822540509	0.20493629940202	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_6	968	984	0.3989761795025829	0.0376438085885129	0.0537708726121442	0.3989761795025829	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_6	982	997	0.3785721694472772	0.0311129056710469	0.0510209805588677	0.3785721694472772	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_6	996	1017	0.7655559732106225	0.0382253112305039	0.1031756150562566	0.7655559732106225	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_6	1009	1032	1.2670261706718189	0.0345919435583943	0.1707598255725094	0.8639731882712969	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_6	1025	1040	0.5488019260477346	0.0212867832263403	0.0739632087599883	0.5488019260477346	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_6	1031	1045	0.453332127322684	0.0452057308855517	0.0610965398978225	0.453332127322684	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-7.64_6	1071	1090	0.5682598025158652	0.0171287173972215	0.0765855883671496	0.2167690633070051	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-6.42_1	1011	1032	1.0055441021490914	0.0137214015013372	0.1737497591015175	0.6024911197485694	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-6.42_1	1022	1042	0.7820234911632301	0.0373561988327741	0.1351272340128475	0.7820234911632301	addition	CEBPB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-6.42_1	1071	1090	0.5919883664994858	0.0239789666527466	0.1022907258372401	0.2404976272906258	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-7.64_4	941	957	0.3720947106505027	0.022151565562005	0.0565795724972092	0.3720947106505027	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-7.64_4	1001	1016	0.5259368305954315	0.0276227069403745	0.0799723301188679	0.5259368305954315	addition	MAFB_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-7.64_4	1009	1032	1.022776956108634	0.0498733870590643	0.1555203051273076	1.022776956108634	addition	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-7.64_4	1028	1042	0.4328544687156728	0.035673635319927	0.065818513653753	0.4328544687156728	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-7.64_4	1071	1090	0.5346461545162637	0.0287221497174266	0.0812966430157617	0.1831554153074037	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_7	982	1001	0.5565099808235465	0.0196496677269084	0.0820922089550195	0.5565099808235465	addition	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_7	1011	1032	0.9567086047538558	0.0086937231785365	0.1411265303351692	0.5536556223533338	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_7	1026	1044	0.5324331730588445	0.0300951632658754	0.0785405775340253	0.5324331730588445	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_7	1071	1090	0.5696341650063457	0.017693841794899	0.0840281908914155	0.2181434257974857	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_9	968	984	0.379669568677944	0.042864401173392	0.0567783150676669	0.379669568677944	addition	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_9	1011	1032	0.9559089912869112	0.0237901701491295	0.1429529948167714	0.552856008886389	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_9	1023	1044	0.8016549571772009	0.036787191943279	0.1198848195620698	0.8016549571772009	addition	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-7.64_9	1070	1090	0.6780237738241932	0.0167156478290396	0.1013961892906246	0.3265330346153332	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_1	995	1009	0.4598123186376802	0.0473070742061362	0.0664326494283318	0.4598123186376802	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_1	1001	1015	0.4539432923727388	0.0491272579574825	0.065584705716211	0.4539432923727388	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_1	1010	1033	1.1969377721544754	0.0198080114040689	0.1729308767556597	0.7938847897539534	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_1	1023	1042	0.8487250170411544	0.0345919435583943	0.1226218812171022	0.8487250170411544	addition	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_1	1071	1089	0.5156431258107199	0.0276227069403745	0.074498958854787	0.1641523866018599	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_8	994	1009	0.4927081989010167	0.0422166159461127	0.0671010306311128	0.4927081989010167	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_8	1000	1014	0.4344016627214414	0.044524856627296	0.0591603698527729	0.4344016627214414	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_8	1010	1033	1.2658717634547283	0.0159163766167509	0.1723967658019446	0.8628187810542065	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_8	1023	1046	1.1510589760529684	0.0243607075212138	0.1567606217688784	1.1510589760529684	addition	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-7.64_8	1070	1090	0.7028172588208306	0.017693841794899	0.0957154001443469	0.3513265196119706	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-7.64_6	997	1014	0.5900328677948471	0.0320458205421225	0.0822003652873677	0.5900328677948471	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-7.64_6	1010	1033	1.1763048852838476	0.0345919435583943	0.1638767881203311	0.7732519028833256	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-7.64_6	1023	1042	0.8753029651663546	0.0352576398335726	0.121942738109985	0.8753029651663546	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-6_target-7.64_6	1043	1057	0.2997914012953777	0.0498733870590643	0.0417654067113091	0.2997914012953777	addition	ARNTL_bHLH_1
