id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ref_sequence	1012	1032	0.5989039043950545	0.02790878858649042	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ref_sequence	1071	1088	0.41887877188180433	0.018055288449976187	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	968	985	0.4840960023560499	0.026997912206387874	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	975	989	0.49087156740937454	0.03619931001030346	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	982	1000	0.5422159524184101	0.03167199526407062	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	995	1018	1.077673858923344	0.04220007400636097	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1009	1032	1.4679024522589341	0.021998457716634424	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1025	1046	0.7858009853744887	0.015114953423688899	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1043	1068	1.255665071040363	0.01491721035364396	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1069	1091	0.9679955840784942	0.04879447632033253	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_1	1087	1109	0.9424860398938772	0.01903190821965004	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	983	1003	0.6564293736364768	0.029629925344728626	HNF6_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	994	1016	1.1488967167455952	0.02428560461425146	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_2	1006	1032	1.5868421327106157	0.03125226152238664	CEBPB_HUMAN.H11MO.0.A
