id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	936	956	0.4165126573518774	0.04266868156672106	ZBTB33_MA0527.1
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1042	1063	0.6914520779899347	0.023788981722299783	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1066	1085	0.47196732929660756	0.004634616220552891	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1089	1108	0.39227473510175415	0.020140837468128225	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	935	957	0.7396106713246016	0.008165789875816983	ZBTB33_MA0527.1
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1042	1062	0.5727657988208124	0.024615508749416478	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1066	1084	0.4071811851372531	0.01824430410931997	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1091	1108	0.30059445180534494	0.017606101642482323	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1136	1150	0.2590296297462764	0.032122114999802866	TAL1_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1042	1067	0.9173889236959465	0.0012968140029502597	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1065	1084	0.5024245082738159	0.045346266221418116	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1089	1109	0.502837895124165	0.015582900681262076	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1042	1066	0.9132944019387089	0.00406342316888083	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1065	1084	0.5063392038191659	0.04372442006337662	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1089	1108	0.4141375928263571	0.022052581612121255	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1042	1066	0.8717547043342758	0.008663157238031068	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1065	1083	0.3906998298247615	0.040366464262611555	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1090	1109	0.36730007851849944	0.04617461144069637	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1042	1065	0.8315099597616337	0.009750497844027768	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1064	1084	0.652149400951866	0.029696882896354	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1091	1106	0.2627140400400112	0.026697318527244406	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1042	1065	0.8651972630071056	0.0022158022569439897	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1066	1084	0.4387234995191789	0.0061244676529394	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1088	1108	0.3935142441892885	0.03986841968692382	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1136	1150	0.20813963805843017	0.03674842692989433	TAL1_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1042	1066	0.8792297379775992	0.004668643546214974	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1065	1084	0.45042614583939544	0.03986841968692382	JUN+JUNB_MA1133.1
