id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ref_sequence	1013	1031	0.40305298240052206	0.0498733870590643	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ref_sequence	1074	1089	0.35149073920886	0.037643808588512954	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	999	1032	1.9271120801018136	0.020782944543160292	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1028	1060	1.8982021854879978	0.003993640638080072	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1053	1067	0.3294674999670182	0.02180184363848297	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1064	1080	0.8276584158956188	0.04157803279634765	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1070	1101	2.0627944420314117	0.0008429945143283453	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_1	1095	1113	0.5544595062121296	0.01591637661675091	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	999	1033	1.9688768563356245	0.023978966652746625	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1028	1060	1.843759059109002	0.03459194355839432	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1053	1067	0.34266101111932024	0.04589631419228254	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1070	1102	1.9968393171855867	0.006525800046691943	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_10	1095	1113	0.5215643091120983	0.04554980170166938	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	999	1032	1.9682657313420155	0.01657997113026903	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1028	1060	1.7485064818439642	0.041262157128128175	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1059	1074	0.5220650281236083	0.03822531123050392	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1065	1079	0.6647435158796906	0.027839420844810524	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1069	1102	2.3356493522015684	0.03512886189237361	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_2	1096	1112	0.4174303614169066	0.040948540118391635	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	999	1032	1.8655339420839656	0.04695064795138151	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1028	1060	1.8202643545393649	0.04554980170166938	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1053	1067	0.46221715703908783	0.018723703125906946	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1059	1075	0.6247853689659646	0.03202133761382601	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1065	1080	0.8288125852724475	0.024496864293743537	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1070	1102	2.1630781355462263	0.00421626974575668	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_3	1092	1113	0.7562113640077346	0.030883593372035726	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	999	1032	1.9655990433273893	0.018723703125906946	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1028	1059	1.797505646902151	0.03152925435595684	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1053	1067	0.3132839570728354	0.031044267384158657	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1063	1079	0.7876488296682878	0.04286440117339201	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1069	1102	2.1955766916466137	0.04352150009819771	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_4	1095	1112	0.44597680431628817	0.04839151109639871	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	999	1032	1.8533671652767416	0.017268444460892787	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	1028	1060	2.059751181549849	0.018128726134506876	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	1053	1067	0.38149542312752294	0.03540025979293725	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	1059	1075	0.5555852870484852	0.04352150009819771	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	1065	1080	0.7974069943881412	0.04985515610220864	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	1070	1101	2.01751466397291	0.004613797960235575	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_5	1095	1112	0.4111958949015806	0.04730707420613627	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_6	999	1033	1.8584671813516092	0.03707066464076151	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_6	1029	1059	1.8199468955540659	0.0072483988975657705	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_6	1052	1068	0.46812978462902555	0.0431917794291362	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_6	1066	1080	0.7164993263565869	0.03432639554286543	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_6	1070	1101	1.9397576800964433	0.004029949362472612	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_6	1095	1112	0.48116809916722225	0.0373561988327741	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_7	999	1033	2.0202573427975183	0.04766601648500149	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_7	1023	1037	0.7774180123770869	0.048758094963275454	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_7	1028	1059	1.8205104284248947	0.029173201786239084	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_7	1053	1067	0.3007804551979012	0.021117601510266027	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_7	1066	1101	2.3271550586210887	0.04167367425347945	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_7	1095	1112	0.44675951863553465	0.04418802463977276	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_8	999	1032	1.85272515022358	0.04063716777415878	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_8	1028	1059	1.7539686039207192	0.008920659983371477	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_8	1053	1067	0.30756337176901116	0.04554980170166938	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_8	1066	1080	0.695466479657993	0.0373561988327741	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_8	1070	1102	2.1144666777054706	0.0017224922556354511	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_8	1095	1112	0.4640744358506552	0.04730707420613627	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_9	1000	1033	1.9111572317279018	0.019649667726908415	NDF2_MOUSE.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_9	1028	1060	1.9155327053344569	0.02677138457031075	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_9	1053	1067	0.29528960965533946	0.045205730885551756	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_9	1064	1080	0.8099701119431639	0.028277587506706697	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_9	1070	1102	2.147897199842596	0.003066666664710039	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-10.88_9	1094	1113	0.5374858130880122	0.03911348485364352	HNF4G_MA0484.1
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_1	1012	1031	0.4977024135973631	0.04730707420613627	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_1	1072	1089	0.44243226821230497	0.02635488941340899	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_10	1012	1031	0.5047891315765088	0.0373561988327741	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_10	1072	1089	0.3883638137862091	0.024169142632964005	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_2	1012	1032	0.610881996483605	0.048758094963275454	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_2	1070	1090	0.6356645142907966	0.04221661594611272	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_3	1012	1031	0.5095943647376551	0.03650576667085745	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_3	1071	1090	0.6197207448222799	0.012837359269226195	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_4	1012	1032	0.5843669841797834	0.029630840137533875	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_4	1072	1089	0.41772326439774843	0.020949658132342976	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_5	1011	1030	0.4811060597434905	0.038815285523608536	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_5	1071	1090	0.6027086564457673	0.022328356818105913	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_6	1012	1031	0.5320264821040921	0.045205730885551756	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_6	1071	1086	0.424845365666638	0.03567363531992702	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_7	1012	1031	0.50612871774786	0.039716378487932046	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_7	1072	1089	0.4291085988650656	0.033004280718163914	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-10_target-5.87_8	1012	1031	0.5120846653409558	0.02872214971742666	FOXA2_HUMAN.H11MO.0.A
