id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ref_sequence	1011	1032	0.5290137761263382	0.03461383959884014	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ref_sequence	1070	1090	0.46124287163648603	0.048574995783215946	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-1035_flanks-5_1	1010	1032	0.8536373128576908	0.021437084183776142	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-1035_flanks-5_1	1023	1048	0.9288021472656482	0.02508402754619857	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-1035_flanks-5_1	1043	1059	0.30210341073657765	0.018453048034861336	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-1035_flanks-5_1	1053	1067	0.19289193375593183	0.03254875480991975	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-1035_flanks-5_1	1065	1079	0.33387024658672715	0.041532776964156554	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-1_target-10.88_pos-1035_flanks-5_1	1070	1090	0.541855905832719	0.03271684847421418	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-1035_flanks-5_1	1000	1016	0.2761552541696395	0.03714291056077197	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-1035_flanks-5_1	1011	1032	0.7397751253222877	0.00745588878317293	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-1035_flanks-5_1	1023	1051	0.9762062786155733	0.02979441193529059	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-1035_flanks-5_1	1065	1079	0.40234918044724965	0.0441255198398276	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-2_target-10.88_pos-1035_flanks-5_1	1070	1090	0.5575398080745102	0.030745017234152957	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-1035_flanks-5_1	1001	1016	0.28708297723020215	0.04237950785888602	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-1035_flanks-5_1	1009	1032	0.8472939933773869	0.04479912667651326	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-1035_flanks-5_1	1024	1048	0.7885897638061935	0.016809398275510326	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-1035_flanks-5_1	1053	1067	0.1756009912884986	0.04029460730774996	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-3_target-10.88_pos-1035_flanks-5_1	1070	1090	0.5026834349743985	0.02979441193529059	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-1035_flanks-5_1	999	1016	0.3767015981709316	0.0320487337662147	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-1035_flanks-5_1	1009	1032	0.8616045156687296	0.017613146016685552	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-1035_flanks-5_1	1024	1048	0.7998974750193315	0.010482304886968614	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-1035_flanks-5_1	1066	1080	0.381455344032831	0.039489319282879264	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-4_target-10.88_pos-1035_flanks-5_1	1070	1090	0.5095991590984799	0.03968913773304647	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-1035_flanks-5_1	1009	1032	0.8483672840004683	0.04982125762886268	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-1035_flanks-5_1	1023	1048	0.9009571568114607	0.02083300080176314	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-1035_flanks-5_1	1053	1067	0.23116207313590142	0.032885687194241196	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-1035_flanks-5_1	1059	1073	0.33971216938018234	0.04049842229751422	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_Ledidi_run-5_target-10.88_pos-1035_flanks-5_1	1070	1090	0.5073458943673819	0.02083300080176314	FOXA2_HUMAN.H11MO.0.A
