id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	936	956	0.4165126573518774	0.04266868156672106	0.08027249429506149	0.4165126573518774	addition	ZBTB33_MA0527.1
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1042	1063	0.6914520779899347	0.023788981722299783	0.1332602551352099	-0.07697873432369362	decrease	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1066	1085	0.47196732929660756	0.004634616220552891	0.09096000824870626	0.47196732929660756	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-100_target-10.88_1	1089	1108	0.39227473510175415	0.020140837468128225	0.07560123535201464	0.39227473510175415	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	935	957	0.7396106713246016	0.008165789875816983	0.1366679716056813	0.7396106713246016	addition	ZBTB33_MA0527.1
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1042	1062	0.5727657988208124	0.024615508749416478	0.10583776433316638	-0.19566501349281595	decrease	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1066	1084	0.4071811851372531	0.01824430410931997	0.07524043230615127	0.4071811851372531	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1091	1108	0.30059445180534494	0.017606101642482323	0.05554494492431174	0.30059445180534494	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-10_target-10.88_1	1136	1150	0.2590296297462764	0.032122114999802866	0.04786444470817725	0.2590296297462764	addition	TAL1_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1042	1067	0.9173889236959465	0.0012968140029502597	0.17227976528638245	0.14895811138231818	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1065	1084	0.5024245082738159	0.045346266221418116	0.09435210533262031	0.5024245082738159	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-11_target-10.88_1	1089	1109	0.502837895124165	0.015582900681262076	0.09442973673595544	0.502837895124165	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1042	1066	0.9132944019387089	0.00406342316888083	0.1748042528531772	0.1448635896250806	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1065	1084	0.5063392038191659	0.04372442006337662	0.0969131596843203	0.5063392038191659	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-12_target-10.88_1	1089	1108	0.4141375928263571	0.022052581612121255	0.07926580119045004	0.4141375928263571	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1042	1066	0.8717547043342758	0.008663157238031068	0.16606840159541203	0.10332389202064751	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1065	1083	0.3906998298247615	0.040366464262611555	0.07442792785631837	0.3906998298247615	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-13_target-10.88_1	1090	1109	0.36730007851849944	0.04617461144069637	0.06997029857386024	0.36730007851849944	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1042	1065	0.8315099597616337	0.009750497844027768	0.1603063865796686	0.06307914744800536	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1064	1084	0.652149400951866	0.029696882896354	0.12572755473266772	0.652149400951866	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-14_target-10.88_1	1091	1106	0.2627140400400112	0.026697318527244406	0.05064850753517549	0.2627140400400112	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1042	1065	0.8651972630071056	0.0022158022569439897	0.1642032935410364	0.09676645069347733	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1066	1084	0.4387234995191789	0.0061244676529394	0.083264067808669	0.4387234995191789	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1088	1108	0.3935142441892885	0.03986841968692382	0.07468393361140596	0.3935142441892885	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-15_target-10.88_1	1136	1150	0.20813963805843017	0.03674842692989433	0.0395022216862385	0.20813963805843017	addition	TAL1_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1042	1066	0.8792297379775992	0.004668643546214974	0.16432528913462846	0.11079892566397087	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1065	1084	0.45042614583939544	0.03986841968692382	0.08418323840945967	0.45042614583939544	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1090	1108	0.33808093680409845	0.014599567432380715	0.06318627008570876	0.33808093680409845	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-16_target-10.88_1	1124	1144	0.4951344448115811	0.04452956898188012	0.09253907970779959	0.4951344448115811	addition	CEBPB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-17_target-10.88_1	1042	1063	0.7832560767734492	0.02950168586830613	0.14884674127073794	0.014825264459820908	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-17_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-17_target-10.88_1	1066	1084	0.3713828396854195	0.013087469544470251	0.07057605691201889	0.3713828396854195	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-17_target-10.88_1	1088	1108	0.5034076176307805	0.036286158793663696	0.09566549898198931	0.5034076176307805	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-17_target-10.88_1	1125	1144	0.3808990703654649	0.022671144625201554	0.07238448198257863	0.3808990703654649	addition	CEBPB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-18_target-10.88_1	1042	1066	0.8851714825686823	0.006641158766482841	0.17286567696362218	0.11674067025505397	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-18_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-18_target-10.88_1	1065	1084	0.5098779546889618	0.025122851575913492	0.09957437574735183	0.5098779546889618	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-18_target-10.88_1	1091	1106	0.28693389388011203	0.019720557575356863	0.056035494574967905	0.28693389388011203	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-19_target-10.88_1	1042	1067	0.850906336205723	0.007096827158658853	0.16562251100554587	0.08247552389209467	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-19_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-19_target-10.88_1	1065	1084	0.44336261145894973	0.03651671048614881	0.08629719379367055	0.44336261145894973	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-19_target-10.88_1	1089	1106	0.3763884394624202	0.022052581612121255	0.07326117553102039	0.3763884394624202	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1042	1066	0.8825312445786773	0.005287704856062722	0.16155740920468437	0.11410043226504896	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1064	1084	0.5405670683472743	0.03792461043266216	0.09895696679300006	0.5405670683472743	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1089	1107	0.41579425074257026	0.012709810364905193	0.07611587955080493	0.41579425074257026	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1127	1143	0.18051881521476787	0.04562108230397816	0.03304602786354618	0.18051881521476787	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-1_target-10.88_1	1139	1156	0.3099705958068353	0.014284711864056662	0.05674365264211365	0.3099705958068353	addition	ELK1_HUMAN.H11MO.0.B
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1011	1029	0.26454526221647356	0.02950168586830613	0.04771137703383835	0.26454526221647356	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1042	1066	0.8443760566254712	0.00879217375595508	0.15228526135175222	0.07594524431184291	increase	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1053	1067				-0.4527767016873151	removal	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1066	1084	0.33957852586106974	0.04873051730763384	0.06124380737045617	0.33957852586106974	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1089	1108	0.4611391864933143	0.025465896386815304	0.08316756613791267	0.4611391864933143	addition	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-20_target-10.88_1	1126	1143	0.3135410578676643	0.014813021375396845	0.056547887125914714	0.3135410578676643	addition	CEBPB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ISM_run-21_target-10.88_1	937	955	0.34147703540777574	0.021004695670471602	0.06369560361045123	0.34147703540777574	addition	ZBTB33_MA0527.1
ISL1_chr5:51382751-51383709_ISM_run-21_target-10.88_1	1043	1066	0.8300078185073514	0.004435683522002961	0.15482109635304556	0.06157700619372308	increase	NFYB_HUMAN.H11MO.0.A
