id	start	end	attribution	p-value	attribution_proportion	delta_attribution	type	annotation
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	963	983	0.6423567858725107	0.014415586609242076	0.06915587414459802	0.6423567858725107	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	982	1002	0.7610329357270582	0.013286917278532035	0.08193250087884946	0.7610329357270582	addition	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	994	1018	0.9399066321666156	0.03457833906198194	0.10118997135446794	0.9399066321666156	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	1010	1045	2.185123907047702	0.003931212700577318	0.23524956415130796	2.185123907047702	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	1012	1031				-0.5156894975822934	removal	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	1043	1057	0.34528053567123074	0.02804347859028672	0.03717276410028951	0.34528053567123074	addition	ARNTL_bHLH_1
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	1053	1067	0.29893050650280983	0.039366356908199195	0.032182738534643915	0.29893050650280983	addition	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	1065	1080	0.5450127834443759	0.038586396503528464	0.05867585785348403	0.5450127834443759	addition	TYY1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	1070	1091	0.8246451749655392	0.02519077069523476	0.08878096906286201	0.38293759400487737	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_1	1129	1148	0.42424876652139876	0.029198405837926517	0.04567445218735154	0.42424876652139876	addition	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_ISM_run-1_target-5.87_1	1011	1031	0.4803942224120517	0.03990959858885664	0.09609714154490552	-0.035295275170241724	decrease	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-5.87_1	1071	1089	0.42040127023056084	0.03830304637216459	0.08409626612110307	-0.02130631073010103	decrease	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-6.42_1	1010	1032	0.6981295333237153	0.04018415436463782	0.12473289830055859	0.18244003574142187	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-6.42_1	1071	1089	0.45104300532596	0.023404377713334056	0.08058662272122234	0.009335424365298106	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-7.64_1	981	1002	0.735456690835713	0.032310127313554135	0.11096913424786502	0.735456690835713	addition	FOXD2_forkhead_1
ISL1_chr5:51392398-51392614_ISM_run-1_target-7.64_1	995	1009	0.43959560513050056	0.043636608666333274	0.06632823431800805	0.43959560513050056	addition	JUN+JUNB_MA1133.1
ISL1_chr5:51392398-51392614_ISM_run-1_target-7.64_1	1000	1016	0.522043072021681	0.02711756324404317	0.07876829249661745	0.522043072021681	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-1_target-7.64_1	1009	1033	1.0150021169548145	0.03553244372482775	0.15314825139497748	0.499312619372521	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-7.64_1	1026	1045	0.49584302350277376	0.042745664692736815	0.07481510703019459	0.49584302350277376	addition	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-1_target-7.64_1	1071	1089	0.5123925345303184	0.02469023205271627	0.07731217440864932	0.07068495356965654	increase	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_1	958	972	0.24712382869313193	0.03529132458641554	0.026732878747001258	0.24712382869313193	addition	TAL1_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_1	968	982	0.38978733240752966	0.026223468412127922	0.04216565253732313	0.38978733240752966	addition	FOXA2_HUMAN.H11MO.0.A
