id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_1	929	948	0.45759263478944084	0.023410862647696817	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_1	1042	1063	0.7251725237274891	0.019330370578165557	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_1	1053	1067	0.43500148072700395	0.038706280237709195	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_1	1066	1082	0.2462820841520037	0.024249705253223446	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_1	1089	1107	0.39573610681818794	0.02391088113823126	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_10	929	946	0.2880215531594344	0.04448186373825308	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_10	1042	1066	0.834744779616512	0.005311013310028899	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_10	1067	1081	0.20264116447165326	0.03498568245884175	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_10	1088	1107	0.3967098172294343	0.04747656205278675	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_2	929	948	0.44353432922580105	0.027123791543489897	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_2	1042	1063	0.6934983205082599	0.014194567556364241	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_2	1088	1108	0.4951168503437522	0.0371788332483563	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_3	929	947	0.3461332694768941	0.04686463536558052	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_3	1042	1067	0.8854168785824176	0.0096573680221604	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_3	1066	1082	0.28902851373490335	0.019695128153625837	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_3	1089	1108	0.40854841183795587	0.03768209494984913	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_4	929	947	0.40929454910467844	0.02407974163388962	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_4	1042	1063	0.7045890316876104	0.00602766116522535	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_4	1053	1067	0.4276868331246735	0.043614773722746566	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_4	1066	1082	0.2242042872083707	0.04419124502058559	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_4	1090	1108	0.3659775592826393	0.030096783644600653	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_5	929	948	0.4339940597893886	0.02769617499994604	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_5	1042	1063	0.7414810439190884	0.008845418823951397	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_5	1053	1067	0.4674871112601069	0.047169780077802946	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_5	1066	1081	0.1870948155442349	0.047169780077802946	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_5	1089	1108	0.43188884963617413	0.03692939130163257	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_6	929	947	0.3439725381668784	0.04448186373825308	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_6	1042	1065	0.7240849807955496	0.004177268739405471	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_6	1089	1108	0.41485732107597073	0.03381682350428421	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_7	929	947	0.38289809307084766	0.04390221672034164	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_7	1042	1064	0.7452867308289401	0.008280262387480317	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_7	1067	1081	0.1847180663596133	0.045660337361953476	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_7	1089	1108	0.44340666859858335	0.026193740194315664	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_8	930	947	0.3128140984178076	0.03376840725484679	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_8	1042	1063	0.6659356229921858	0.013014311142464815	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_8	1066	1082	0.22385014566784944	0.04082647105985736	JUN+JUNB_MA1133.1
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_8	1089	1108	0.43945074863895783	0.027123791543489897	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_9	929	948	0.4694368532984387	0.00709403824523366	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_9	1042	1063	0.6343006635365063	0.03768209494984913	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-10_target-10.88_9	1089	1107	0.3797251332879026	0.04082647105985736	NFYB_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_1	953	971	0.371894240420635	0.038191229972036334	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_Ledidi_run-1_target-10.88_1	1042	1065	0.7704091498099952	0.0034825367448879964	NFYB_HUMAN.H11MO.0.A
