id	start	end	attribution	p-value	annotation
ISL1_chr5:51382751-51383709_ref_sequence	1015	1031	0.4745943335769675	0.02725294970086191	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51382751-51383709_ref_sequence	1072	1086	0.4014308305686294	0.041374629292903316	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_pos-1035_flanks-8_1	1011	1045	2.3223560058242985	0.04113166268198538	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-1_target-10.88_pos-1035_flanks-8_1	1071	1089	0.655852170710332	0.02044188999755723	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1035_flanks-8_1	1013	1048	3.349381128542071	0.00028716523277782586	RFX6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1035_flanks-8_1	1038	1059	1.5383419023663887	0.025149687265960077	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1035_flanks-8_1	1053	1067	0.27843291280565197	0.03792924676031158	SP2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-2_target-10.88_pos-1035_flanks-8_1	1070	1090	0.7871113706845376	0.02011028332709794	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-3_target-10.88_pos-1035_flanks-8_1	1011	1031	1.2434394043255033	0.026979537390607197	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-3_target-10.88_pos-1035_flanks-8_1	1021	1046	1.907331263144677	0.01010156333989497	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-3_target-10.88_pos-1035_flanks-8_1	1071	1089	0.5529726637707624	0.031149765089541575	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1035_flanks-8_1	1010	1045	2.1693445536570515	0.04017917985132448	ETV6_MOUSE.H11MO.0.C
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1035_flanks-8_1	1036	1051	0.5645661904907624	0.04017917985132448	ELK1_HUMAN.H11MO.0.B
ISL1_chr5:51392398-51392614_ISM_run-4_target-10.88_pos-1035_flanks-8_1	1071	1089	0.5597760554288818	0.042115416842958525	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-5_target-10.88_pos-1035_flanks-8_1	1009	1032	1.289372298278106	0.04929395321205271	FOXA2_HUMAN.H11MO.0.A
ISL1_chr5:51392398-51392614_ISM_run-5_target-10.88_pos-1035_flanks-8_1	1025	1048	1.1089204167383158	0.02881919015838131	MEOX2_MA0706.1
ISL1_chr5:51392398-51392614_ISM_run-5_target-10.88_pos-1035_flanks-8_1	1071	1089	0.6113781156365241	0.022142775616841675	FOXA2_HUMAN.H11MO.0.A
